book,poem,line_n,stanza_n,text
SONGS OF INNOCENCE,INTRODUCTION,0,0,"Piping down the valleys wild,"
SONGS OF INNOCENCE,INTRODUCTION,1,0,"Piping songs of pleasant glee,"
SONGS OF INNOCENCE,INTRODUCTION,2,0,"On a cloud I saw a child,"
SONGS OF INNOCENCE,INTRODUCTION,3,0,And he laughing said to me:
SONGS OF INNOCENCE,INTRODUCTION,4,1,‘Pipe a song about a Lamb!’
SONGS OF INNOCENCE,INTRODUCTION,5,1,So I piped with merry cheer.
SONGS OF INNOCENCE,INTRODUCTION,6,1,"‘Piper, pipe that song again.’"
SONGS OF INNOCENCE,INTRODUCTION,7,1,So I piped: he wept to hear.
SONGS OF INNOCENCE,INTRODUCTION,8,2,"‘Drop thy pipe, thy happy pipe;"
SONGS OF INNOCENCE,INTRODUCTION,9,2,Sing thy songs of happy cheer!’
SONGS OF INNOCENCE,INTRODUCTION,10,2,"So I sung the same again,"
SONGS OF INNOCENCE,INTRODUCTION,11,2,While he wept with joy to hear.
SONGS OF INNOCENCE,INTRODUCTION,12,3,"‘Piper, sit thee down and write"
SONGS OF INNOCENCE,INTRODUCTION,13,3,"In a book, that all may read.’"
SONGS OF INNOCENCE,INTRODUCTION,14,3,So he vanished from my sight;
SONGS OF INNOCENCE,INTRODUCTION,15,3,"And I plucked a hollow reed,"
SONGS OF INNOCENCE,INTRODUCTION,16,4,"And I made a rural pen,"
SONGS OF INNOCENCE,INTRODUCTION,17,4,"And I stained the water clear,"
SONGS OF INNOCENCE,INTRODUCTION,18,4,And I wrote my happy songs
SONGS OF INNOCENCE,INTRODUCTION,19,4,Every child may joy to hear.
SONGS OF INNOCENCE,THE SHEPHERD,0,0,How sweet is the shepherd’s sweet lot!
SONGS OF INNOCENCE,THE SHEPHERD,1,0,From the morn to the evening he strays;
SONGS OF INNOCENCE,THE SHEPHERD,2,0,"He shall follow his sheep all the day,"
SONGS OF INNOCENCE,THE SHEPHERD,3,0,And his tongue shall be fillèd with praise.
SONGS OF INNOCENCE,THE SHEPHERD,4,1,"For he hears the lambs’ innocent call,"
SONGS OF INNOCENCE,THE SHEPHERD,5,1,And he hears the ewes’ tender reply;
SONGS OF INNOCENCE,THE SHEPHERD,6,1,"He is watchful while they are in peace,"
SONGS OF INNOCENCE,THE SHEPHERD,7,1,For they know when their shepherd is nigh.
SONGS OF INNOCENCE,THE ECHOING GREEN,0,0,"The sun does arise,"
SONGS OF INNOCENCE,THE ECHOING GREEN,1,0,And make happy the skies;
SONGS OF INNOCENCE,THE ECHOING GREEN,2,0,The merry bells ring
SONGS OF INNOCENCE,THE ECHOING GREEN,3,0,To welcome the Spring;
SONGS OF INNOCENCE,THE ECHOING GREEN,4,0,"The skylark and thrush,"
SONGS OF INNOCENCE,THE ECHOING GREEN,5,0,"The birds of the bush,"
