x,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Thank you, everyone! #indyref http://t.co/1kTzqjyGE7",FALSE,1744,NA,2014-09-18 21:01,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,2167,FALSE,FALSE,NA,NA
2,"As the polls close, total likes on the @YesScotland Facebook page have passed David Cameron's one. #indyref #voteYes http://t.co/x7IoB1EtfY",FALSE,540,NA,2014-09-18 20:57,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,449,FALSE,FALSE,NA,NA
3,"RT @YESforScotland4: #voteyes YES what a fantastic word 3 simple letters. Y E S could stand for Your Engaged Scotland, what does Y E S mean_",FALSE,0,NA,2014-09-18 20:51,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YesScotland,121,TRUE,FALSE,NA,NA
4,"We can be proud of #indyref, which has seen a flourishing of ScotlandÈs self-confidence as a nation #VoteYes http://t.co/1OqxvbpoS9",FALSE,576,NA,2014-09-18 20:45,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,669,FALSE,FALSE,NA,NA
5,"RT @Crafty_Goddess: Txt from 25 year old niece ""That's me voted AYE"" She was a no previously but voted #yes for their 13 month old daughter_",FALSE,0,NA,2014-09-18 20:41,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,130,TRUE,FALSE,NA,NA
6,RT @ScottishSun: If you are in a queue at 10pm you WILL be allowed to vote. DO NOT leave the queue #indyref http://t.co/Zyft3LrKHd,FALSE,0,NA,2014-09-18 20:34,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,586,TRUE,FALSE,NA,NA
7,RT @icklesarah: As an 'English Scot' I voted yes in the #indyref today. Scotland is buzzing! Not sure how I'm going to sleep... #VoteYes,FALSE,0,NA,2014-09-18 20:06,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,239,TRUE,FALSE,NA,NA
8,We can afford world-class public services. A Yes vote means we can strengthen our NHS. #VoteYes #indyref http://t.co/D9Vn5OqStV,FALSE,212,NA,2014-09-18 20:00,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,200,FALSE,FALSE,NA,NA
9,"RT @ChuckDeNomolos: What'll it be Scotland, our destiny in our own hands for another hour or for ever? #indyref #voteyes #yes",FALSE,0,NA,2014-09-18 19:55,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YesScotland,197,TRUE,FALSE,NA,NA
10,RT @kirstynicho: My uncle who was an absolute No. Just phoned to say he voted yes. So so  proud of him. Cmon Scotland he can so can you. #v_,FALSE,0,NA,2014-09-18 19:45,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YesScotland,231,TRUE,FALSE,NA,NA
11,"RT @LouiseT81: Phew! Gran, uncles, aunties, cousins aw voted yes! Best pal just changed to #VoteYes too x",FALSE,0,NA,2014-09-18 19:44,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YesScotland,122,TRUE,FALSE,NA,NA
12,RT @MrJohnNicolson: Just been to the ballot box with my mum - who first voted in 1945. She says she's never seen such a joyous carnival atm_,FALSE,0,NA,2014-09-18 19:39,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,234,TRUE,FALSE,NA,NA
13,RT @kirkpatrick_x: Thought i had my mind made up until it came time to put that cross.. Lets do this! #VoteYes Í¾_Íµ_é´Ù,FALSE,0,NA,2014-09-18 19:38,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",YesScotland,166,TRUE,FALSE,NA,NA
14,This is a once in a lifetime opportunity to choose a new and better path for Scotland #VoteYes #indyref http://t.co/9knT6Mx4vZ,FALSE,190,NA,2014-09-18 19:25,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,212,FALSE,FALSE,NA,NA
15,RT @MackieJonathan: There is still work to do at campaign hubs around the country. See map and get #activeYes http://t.co/10BpCu3AsD,FALSE,0,NA,2014-09-18 19:22,FALSE,NA,5.13E+17,NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",YesScotland,53,TRUE,FALSE,NA,NA
